Town,County,Earliest year land records or index online,Platform link (may require login),Google Sheet clickable link (to calculate Markdown-formatted links in column D for Datawrapper)
Farmington,Hartford County,1946,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Franklin,New London County,,,
Glastonbury,Hartford County,1693,[https://tcweb.glastonbury-ct.gov/publicsearch/](https://tcweb.glastonbury-ct.gov/publicsearch/),https://tcweb.glastonbury-ct.gov/publicsearch/
Goshen,Litchfield County,1913,[https://countyfusion12.kofiletech.us/](https://countyfusion12.kofiletech.us/),https://countyfusion12.kofiletech.us/
Granby,Hartford County,1979,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Greenwich,Fairfield County,1927,[https://countyfusion12.kofiletech.us/](https://countyfusion12.kofiletech.us/),https://countyfusion12.kofiletech.us/
Griswold,New London County,1984,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Groton,New London County,1962,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Guilford,New Haven County,1975,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Haddam,Middlesex County,1939,[https://webhost01.newvisionsystems.com/HaddamCTSearch/](https://webhost01.newvisionsystems.com/HaddamCTSearch/),https://webhost01.newvisionsystems.com/HaddamCTSearch/
Hamden,New Haven County,1778,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Hampton,Windham County,1967,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Hartford,Hartford County,1964,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Hartland,Hartford County,1963,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Harwinton,Litchfield County,1959,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Hebron,Tolland County,1698,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Kent,Litchfield County,1836,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Killingly,Windham County,1895,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Killingworth,Middlesex County,1964,[http://webhost01.newvisionsystems.com/KillingworthCTBrowserSearch/](http://webhost01.newvisionsystems.com/KillingworthCTBrowserSearch/),http://webhost01.newvisionsystems.com/KillingworthCTBrowserSearch/
Lebanon,New London County,1952,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Ledyard,New London County,1962,[https://webhost01.newvisionsystems.com/LedyardLegacy/or_sch_1.asp](https://webhost01.newvisionsystems.com/LedyardLegacy/or_sch_1.asp),https://webhost01.newvisionsystems.com/LedyardLegacy/or_sch_1.asp
Lisbon,New London County,1960,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Litchfield,Litchfield County,1981,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Lyme,New London County,,,
Madison,New Haven County,1944,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Manchester,Hartford County,1823,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Mansfield,Tolland County,1984,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Marlborough,Hartford County,1945,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Meriden,New Haven County,1966,[https://webhost01.newvisionsystems.com/MeridenCTSearch/](https://webhost01.newvisionsystems.com/MeridenCTSearch/),https://webhost01.newvisionsystems.com/MeridenCTSearch/
Middlebury,New Haven County,1807,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Middlefield,Middlesex County,1965,[https://recording.middlefieldct.org/Search/](https://recording.middlefieldct.org/Search/),https://recording.middlefieldct.org/Search/
Middletown,Middlesex County,1969,[https://connecticut-townclerks-records.com](https://connecticut-townclerks-records.com),https://connecticut-townclerks-records.com
Milford,New Haven County,1967,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Monroe,Fairfield County,1966,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Montville,New London County,1950,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Morris,Litchfield County,2023,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Naugatuck,New Haven County,1987,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
New Britain,Hartford County,1850,[https://connecticut-townclerks-records.com](https://connecticut-townclerks-records.com),https://connecticut-townclerks-records.com
New Canaan,Fairfield County,1960,[https://connecticut-townclerks-records.com](https://connecticut-townclerks-records.com),https://connecticut-townclerks-records.com
New Fairfield,Fairfield County,1761,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
New Hartford,Litchfield County,1940,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
New Haven,New Haven County,1951,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
New London,New London County,1970,[https://countyfusion12.kofiletech.us/](https://countyfusion12.kofiletech.us/),https://countyfusion12.kofiletech.us/
New Milford,Litchfield County,1959,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Newington,Hartford County,1963,[https://connecticut-townclerks-records.com](https://connecticut-townclerks-records.com),https://connecticut-townclerks-records.com
Newtown,Fairfield County,1900,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Norfolk,Litchfield County,1940,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
North Branford,New Haven County,1977,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
North Canaan,Litchfield County,1978,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
North Haven,New Haven County,1965,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
North Stonington,New London County,1807,[https://countyfusion12.kofiletech.us/](https://countyfusion12.kofiletech.us/),https://countyfusion12.kofiletech.us/
Norwalk,Fairfield County,1974,[https://webhost02.newvisionsystems.com/NorwalkLandRecsPublic/](https://webhost02.newvisionsystems.com/NorwalkLandRecsPublic/),https://webhost02.newvisionsystems.com/NorwalkLandRecsPublic/
Norwich,New London County,,[https://www.norwichct.org/184/Land-Records-subscription-needed](https://www.norwichct.org/184/Land-Records-subscription-needed),https://www.norwichct.org/184/Land-Records-subscription-needed
Old Lyme,New London County,1971,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Old Saybrook,Middlesex County,1966,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Orange,New Haven County,1921,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Oxford,New Haven County,1978,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Plainfield,Windham County,1937,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Plainville,Hartford County,1979,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Plymouth,Litchfield County,1957,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Pomfret,Windham County,1852,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Portland,Middlesex County,1850,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Preston,New London County,1753,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Prospect,New Haven County,1960,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Putnam,Windham County,1855,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Redding,Fairfield County,1969,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Ridgefield,Fairfield County,1889,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Rocky Hill,Hartford County,1954,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Roxbury,Litchfield County,1970,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Salem,New London County,1819,[https://webhost01.newvisionsystems.com/SalemCTSearch/](https://webhost01.newvisionsystems.com/SalemCTSearch/),https://webhost01.newvisionsystems.com/SalemCTSearch/
Salisbury,Litchfield County,1957,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Scotland,Windham County,1962,[https://webhost01.newvisionsystems.com/ScotlandSearch/](https://webhost01.newvisionsystems.com/ScotlandSearch/),https://webhost01.newvisionsystems.com/ScotlandSearch/
Seymour,New Haven County,1969,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Sharon,Litchfield County,1935,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Shelton,Fairfield County,1900,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Sherman,Fairfield County,1976,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Simsbury,Hartford County,1976,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Somers,Tolland County,1972,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
South Windsor,Hartford County,1845,[https://connecticut-townclerks-records.com](https://connecticut-townclerks-records.com),https://connecticut-townclerks-records.com
Southbury,New Haven County,1787,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Southington,Hartford County,1847,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Sprague,New London County,,,
Stafford,Tolland County,1977,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Stamford,Fairfield County,1967,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Sterling,Windham County,1945,[https://countyfusion12.kofiletech.us/](https://countyfusion12.kofiletech.us/),https://countyfusion12.kofiletech.us/
Stonington,New London County,1860,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Stratford,Fairfield County,1968,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Suffield,Hartford County,1983,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Thomaston,Litchfield County,2017,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Thompson,Windham County,1938,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Tolland,Tolland County,1942,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Torrington,Litchfield County,1732,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Trumbull,Fairfield County,1950,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Union,Tolland County,1899,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Vernon,Tolland County,1964,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Voluntown,New London County,1859,[http://webhost01.newvisionsystems.com/VoluntownSearch/](http://webhost01.newvisionsystems.com/VoluntownSearch/),http://webhost01.newvisionsystems.com/VoluntownSearch/
Wallingford,New Haven County,1963,[https://connecticut-townclerks-records.com](https://connecticut-townclerks-records.com),https://connecticut-townclerks-records.com
Warren,Litchfield County,1786,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Washington,Litchfield County,1984,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Waterbury,New Haven County,1930,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Waterford,New London County,1959,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Watertown,Litchfield County,1996,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
West Hartford,Hartford County,1963,[https://cotthosting.com/ctwesthartford/](https://cotthosting.com/ctwesthartford/),https://cotthosting.com/ctwesthartford/
West Haven,New Haven County,1956,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Westbrook,Middlesex County,1838,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Weston,Fairfield County,1950,[https://connecticut-townclerks-records.com](https://connecticut-townclerks-records.com),https://connecticut-townclerks-records.com
Westport,Fairfield County,1835,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Wethersfield,Hartford County,1991,[http://webhost01.newvisionsystems.com/WethersfieldBrowserSearch/](http://webhost01.newvisionsystems.com/WethersfieldBrowserSearch/),http://webhost01.newvisionsystems.com/WethersfieldBrowserSearch/
Willington,Tolland County,1982,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Wilton,Fairfield County,1802,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Winchester,Litchfield County,1963,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Windham,Windham County,1687,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Windsor,Hartford County,1970,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Windsor Locks,Hartford County,1985,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Wolcott,New Haven County,1960,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Woodbridge,New Haven County,1855,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Woodbury,Litchfield County,1972,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Woodstock,Windham County,1749,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
